,Close,High,Open,Low
0,0.8576247847445659,0.8585738954340263,0.855017929176755,0.8677966692886354
1,0.8553276524630762,0.8565364851172061,0.8537508666476937,0.8659456115395748
2,0.8535911704047185,0.8547977339364502,0.8516490139611986,0.8639919414124652
3,0.8532322666947139,0.8545321354728419,0.8500043569613837,0.862402647375347
4,0.8529944514354344,0.8543529175668587,0.8497156315525634,0.8620066119266253
5,0.8527626677845673,0.8542840576654376,0.8495316572596383,0.8616572338764783
6,0.8524184352157304,0.8541558310168954,0.8492478712960668,0.8612477185514873
7,0.8520848318990804,0.8538885645838075,0.8489051703213033,0.8608449067043815
8,0.8517481716913665,0.8536136757149528,0.8485665934792659,0.8604492730781595
9,0.8513942295371061,0.8533078684170005,0.8482211646646098,0.860057434566647
10,0.8510378316640264,0.8529770132892016,0.8478621645627975,0.8596702457712574
11,0.8506790629022722,0.8526359899332686,0.8475002326332173,0.8592865874866085
12,0.8503193965101622,0.8522858797294148,0.8471368145728047,0.85890686777282
13,0.849959630898939,0.8519302949860361,0.8467727555207079,0.858530767380388
14,0.8496001579001029,0.8515714314338512,0.846408709604189,0.8581574504818824
15,0.8492415970862784,0.8512106122515292,0.8460451646937613,0.857786800072851
16,0.84888425326495,0.850849067395127,0.8456826530186953,0.8574186809065623
17,0.8485283356039096,0.8504875802320802,0.8453214473218841,0.8570529356640375
18,0.8481740121868093,0.8501267006569151,0.8449617410938223,0.8566894785843866
19,0.8478213972803292,0.8497668409416945,0.8446036876350926,0.8563282375938228
20,0.8474705682957341,0.8494082878090041,0.8442473901454272,0.8559691587983664
21,0.8471215777146452,0.8490512426748364,0.8438929184534065,0.8556122010977457
22,0.8467744600927163,0.8486958480546365,0.8435403194029069,0.8552573305382777
23,0.8464292371197626,0.8483422025474008,0.8431896235475709,0.8549045199282265
24,0.8460859212694223,0.8479903737628457,0.8428408497159181,0.8545537466412284
25,0.8457445183206678,0.8476404071173378,0.8424940082247849,0.8542049911584378
26,0.845405029333727,0.8472923319571195,0.8421491033015999,0.8538582363242581
27,0.8450674520000894,0.8469461662045124,0.8418061348635967,0.8535134666853538
